matrix_row,study_id,es_id,ex_id,con_id,out_id,ex_n,c_n,effect_size,sampling_variance
174,abramova_2023_biopsy,es174,ex025,con021,out083,10,9,-0.00505106882460973,0.05601356483011938
175,abramova_2023_biopsy,es175,ex026,con022,out083,8,10,-0.4903137615224913,0.05843393914507366
176,abramova_2023_biopsy,es176,ex025,con021,out084,10,9,-1.8282180576920712,0.31837359585689257
177,abramova_2023_biopsy,es177,ex026,con022,out084,8,10,-3.666087793037131,0.7447068246097968
178,abramova_2023_biopsy,es178,ex025,con021,out085,10,9,-0.04950644271811758,0.00338554911257219
179,abramova_2023_biopsy,es179,ex026,con022,out085,8,10,-0.01053276481150534,0.00205559298757113
180,abramova_2023_biopsy,es180,ex025,con021,out086,10,9,-0.11037673972259218,0.29915021606585573
181,abramova_2023_biopsy,es181,ex026,con022,out086,8,10,-0.23767441273889744,0.14810583711217057
182,abramova_2023_biopsy,es182,ex025,con021,out087,10,9,0.7347965642268814,0.10211311797980949
183,abramova_2023_biopsy,es183,ex026,con022,out087,8,10,0.46242041793887695,0.07566535455900329
184,abramova_2023_biopsy,es184,ex025,con021,out088,10,9,-1.520450031321935,0.5640674778184969
185,abramova_2023_biopsy,es185,ex026,con022,out088,8,10,-0.8828825845149666,0.2712580954018387
186,abramova_2023_biopsy,es186,ex025,con021,out089,10,9,0.38275391403821846,0.105203152956744
187,abramova_2023_biopsy,es187,ex026,con022,out089,8,10,0.04793005797065385,0.06771590997561347
188,abramova_2023_biopsy,es188,ex025,con021,out090,10,9,0.6160132640953453,0.04100068877253558
189,abramova_2023_biopsy,es189,ex026,con022,out090,8,10,0.037857756602379,0.015253265202449
190,abramova_2023_biopsy,es190,ex025,con021,out091,10,9,-0.00695238537279635,0.6726414669212901
191,abramova_2023_biopsy,es191,ex026,con022,out091,8,10,0.6883811891497945,0.6419413330407434
192,abramova_2023_biopsy,es192,ex025,con021,out092,10,9,0.6025649421187725,0.09667725342572972
193,abramova_2023_biopsy,es193,ex026,con022,out092,8,10,0.25174072252477914,0.15399635138161374
194,abramova_2023_biopsy,es194,ex025,con021,out093,10,9,-0.09291866381695749,0.1543889089341413
195,abramova_2023_biopsy,es195,ex026,con022,out093,8,10,0.0278066431662204,0.2943483895976501
196,abramova_2023_biopsy,es196,ex025,con021,out094,10,9,1.1141648534383417,0.12281502160377272
197,abramova_2023_biopsy,es197,ex026,con022,out094,8,10,0.3628659739113419,0.12837388011686468
198,abramova_2023_biopsy,es198,ex025,con021,out095,10,9,0.05321697848329301,0.01366712073537312
199,abramova_2023_biopsy,es199,ex026,con022,out095,8,10,-0.2870541480350298,0.01386610019836396
200,abramova_2023_biopsy,es200,ex025,con021,out096,10,9,0.18476226214841185,0.04192993813598919
201,abramova_2023_biopsy,es201,ex026,con022,out096,8,10,0.42065086033039045,0.03105202855501656
202,abramova_2023_biopsy,es202,ex025,con021,out097,10,9,-0.00553617312251905,0.0071367340567084
203,abramova_2023_biopsy,es203,ex026,con022,out097,8,10,0.0159925948941226,0.01482481759209638
204,abramova_2023_biopsy,es204,ex025,con021,out098,10,9,0.6575815834599085,0.07815378024932397
205,abramova_2023_biopsy,es205,ex026,con022,out098,8,10,0.2622104914032737,0.06678101760266258
206,abramova_2023_biopsy,es206,ex025,con021,out099,10,9,-0.342052359273766,0.5688235874412247
207,abramova_2023_biopsy,es207,ex026,con022,out099,8,10,-0.924335627834336,0.9408938126923516
